team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Vanderbilt,Jerry Stackhouse,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Western Kentucky,Rick Stansbury,sports_reference_2022_coaches,6,0,0,0,0,0,0,0,6,0.8397
DePaul,Tony Stubblefield,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Abilene Christian,Brette Tanner,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
St. Thomas,John Tauer,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Cal St. Fullerton,Dedrique Taylor,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Bethune-Cookman,Reggie Theus,sports_reference_2022_coaches,1,0,0,0,0,0,0,0,1,0.5603
Oregon St.,Wayne Tinkle,sports_reference_2022_coaches,5,1,0,0,2,1,0,0,7,0.863
Robert Morris,Andrew Toole,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
UC-Irvine,Russ Turner,sports_reference_2022_coaches,2,0,0,0,2,0,0,0,2,0.674
Illinois,Brad Underwood,sports_reference_2022_coaches,5,0,0,0,1,0,0,0,5,0.8096
Loyola Chicago,Drew Valentine,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Seattle,Chris Victor,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Little Rock,Darrell Walker,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Bradley,Brian Wardle,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Delaware State,Stan Waterman,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Kansas St.,Bruce Weber,sports_reference_2022_coaches,13,4,1,0,5,1,0,0,25,0.9562
Buffalo,Jim Whitesell,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Ball State,James Whitford,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Seton Hall,Kevin Willard,sports_reference_2022_coaches,4,0,0,0,4,0,0,0,4,0.7849
Texas A&M,Buzz Williams,sports_reference_2022_coaches,8,4,0,0,0,0,0,0,16,0.9247
Alabama St.,Mo Williams,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Canisius,Reggie Witherspoon,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Southern,Sean Woods,sports_reference_2022_coaches,1,0,0,0,0,0,0,0,1,0.5603
Indiana,Mike Woodson,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Villanova,Jay Wright,sports_reference_2022_coaches,17,7,3,2,15,7,3,2,59,0.9836
Denver,Jeff Wulbrun,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Illinois Chicago,Luke Yaklich,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
UT Arlington,Greg Young,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Fairfield,Jay Young,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Virginia Tech,Mike Young,sports_reference_2022_coaches,6,0,0,0,1,0,0,0,6,0.8397
